#,id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
1,1,2021-06-01 15:22:11.501410,1,Художественная литература,"[{""added"": {}}]",7,1,1
2,2,2021-06-01 15:22:32.914031,2,Литература для детей,"[{""added"": {}}]",7,1,1
3,3,2021-06-01 15:22:48.594425,3,Учебная литература,"[{""added"": {}}]",7,1,1
4,4,2021-06-01 15:23:02.882685,4,Иностранные языки,"[{""added"": {}}]",7,1,1
5,5,2021-06-01 15:23:16.287760,5,Искусство,"[{""added"": {}}]",7,1,1
6,6,2021-06-01 15:23:37.982487,6,Психология и эзотерика,"[{""added"": {}}]",7,1,1
7,7,2021-06-01 15:24:28.417157,7,"Медицина, здоровье, дети","[{""added"": {}}]",7,1,1
8,8,2021-06-01 15:25:04.386389,8,Научная литература,"[{""added"": {}}]",7,1,1
9,9,2021-06-01 15:25:24.897434,9,История. Политика. Социология,"[{""added"": {}}]",7,1,1
10,10,2021-06-01 15:25:36.825029,10,Комиксы и манга,"[{""added"": {}}]",7,1,1
11,11,2021-06-01 15:30:42.039946,1,Психология,"[{""added"": {}}]",8,1,1
12,12,2021-06-01 15:32:30.984834,1,Хохбрунн К.,"[{""added"": {}}]",9,1,1
13,13,2021-06-01 15:32:36.545541,2,Боттлингер А.,"[{""added"": {}}]",9,1,1
14,14,2021-06-01 15:38:00.714601,1,Герои книг на приеме у психотерапевта,"[{""added"": {}}]",11,1,1
15,15,2021-06-01 15:43:07.142731,2,Поэзия,"[{""added"": {}}]",8,1,1
16,16,2021-06-01 15:43:19.601664,3,Проза,"[{""added"": {}}]",8,1,1
17,17,2021-06-01 15:43:49.800150,4,Фантастика,"[{""added"": {}}]",8,1,1
18,18,2021-06-01 15:44:11.100956,5,Фэнтези,"[{""added"": {}}]",8,1,1
19,19,2021-06-01 15:45:04.569750,6,Детективы,"[{""added"": {}}]",8,1,1
20,20,2021-06-01 15:45:24.220381,7,Приключения,"[{""added"": {}}]",8,1,1
21,21,2021-06-01 15:45:37.567161,8,Биографии,"[{""added"": {}}]",8,1,1
22,22,2021-06-01 15:45:53.627132,9,Романы,"[{""added"": {}}]",8,1,1
23,23,2021-06-01 15:46:04.485438,10,Драматургия,"[{""added"": {}}]",8,1,1
24,24,2021-06-01 15:47:02.490756,3,Бакман Ф.,"[{""added"": {}}]",9,1,1
25,25,2021-06-01 15:49:38.007216,2,Тревожные люди,"[{""added"": {}}]",11,1,1
26,26,2021-06-01 15:51:45.768095,4,Тиньков О.,"[{""added"": {}}]",9,1,1
27,27,2021-06-01 15:54:02.552095,3,Я такой как все,"[{""added"": {}}]",11,1,1
28,28,2021-06-01 15:54:42.319860,5,Быков Д.,"[{""added"": {}}]",9,1,1
29,29,2021-06-01 15:56:22.106655,4,Истребитель,"[{""added"": {}}]",11,1,1
30,30,2021-06-01 15:57:09.952085,6,Лабковский М.,"[{""added"": {}}]",9,1,1
31,31,2021-06-01 15:58:28.300226,5,"Хочу и буду: Принять себя, полюбить жизнь и стать","[{""added"": {}}]",11,1,1
32,32,2021-06-02 12:08:29.769439,1,Герои книг на приеме у психотерапевта,"[{""changed"": {""fields"": [""Photo""]}}]",11,1,2
33,33,2021-06-02 12:09:12.770390,6,ttttt,"[{""added"": {}}]",11,1,1
34,34,2021-06-02 12:09:43.840131,6,ttttt,"",11,1,3
35,35,2021-06-02 13:15:12.815391,7,Уокер Б.,"[{""added"": {}}]",9,1,1
36,36,2021-06-02 13:16:59.025221,7,Красная гора,"[{""added"": {}}]",11,1,1
37,37,2021-06-02 13:42:02.256168,10,Комиксы и манга,"",7,1,3
38,38,2021-06-02 13:43:31.745169,11,Графические романы и манга,"[{""added"": {}}]",8,1,1
